Baseline 100%T,,
Wavelength (nm),%T,
2908,112.2507248,
2907.5,112.2345123,
2907,112.3196259,
2906.5,112.3142929,
2906,112.3465271,
2905.5,112.3107529,
2905,112.2264709,
2904.5,112.2053146,
2904,112.1870193,
2903.5,112.2018967,
2903,112.2244263,
2902.5,112.1725922,
2902,112.1618729,
2901.5,112.1160736,
2901,112.0697403,
2900.5,112.1050949,
2900,112.1223907,
2899.5,112.1935272,
2899,112.2393646,
2898.5,112.1777267,
2898,112.2016754,
2897.5,112.1719742,
2897,112.1863632,
2896.5,112.2573395,
2896,112.2634659,
2895.5,112.2813721,
2895,112.2631226,
2894.5,112.1759186,
2894,112.1708374,
2893.5,112.1398239,
2893,112.1670609,
2892.5,112.2272263,
2892,112.1768951,
2891.5,112.1641998,
2891,112.097641,
2890.5,112.0089645,
2890,112.0440216,
2889.5,112.0295258,
2889,112.0375671,
2888.5,112.0424423,
2888,111.9498367,
2887.5,111.9431,
2887,111.8824844,
2886.5,111.8817825,
2886,111.9688873,
2885.5,111.9540939,
2885,111.9709625,
2884.5,111.9670181,
2884,111.9122009,
2883.5,111.9378433,
2883,111.9338989,
2882.5,111.9782562,
2882,112.0411606,
2881.5,111.9994965,
2881,111.9691391,
2880.5,111.9447021,
2880,111.9129562,
2879.5,111.9693909,
2879,111.9874725,
2878.5,111.9820023,
2878,112.005661,
2877.5,111.9109268,
2877,111.8891754,
2876.5,111.864563,
2876,111.8442078,
2875.5,111.9109268,
2875,111.9069443,
2874.5,111.8884125,
2874,111.8616257,
2873.5,111.76931,
2873,111.7873306,
2872.5,111.7603989,
2872,111.7628479,
2871.5,111.7994766,
2871,111.7421112,
2870.5,111.6957932,
2870,111.6951218,
2869.5,111.6484985,
2869,111.7020035,
2868.5,111.704895,
2868,111.7049255,
2867.5,111.736557,
2867,111.6684875,
2866.5,111.648407,
2866,111.6614227,
2865.5,111.6694489,
2865,111.7216949,
2864.5,111.7173767,
2864,111.67836,
2863.5,111.681488,
2863,111.6090317,
2862.5,111.6445999,
2862,111.6866837,
2861.5,111.6795044,
2861,111.733139,
2860.5,111.6806412,
2860,111.6544724,
2859.5,111.6669159,
2859,111.6404572,
2858.5,111.6942062,
2858,111.6972809,
2857.5,111.6513214,
2857,111.6491776,
2856.5,111.5817413,
2856,111.5405197,
2855.5,111.5551682,
2855,111.5214005,
2854.5,111.5540466,
2854,111.5312424,
2853.5,111.4553909,
2853,111.4544296,
2852.5,111.4302139,
2852,111.4552002,
2851.5,111.4855499,
2851,111.4286194,
2850.5,111.439003,
2850,111.4264984,
2849.5,111.3792191,
2849,111.4133835,
2848.5,111.4135513,
2848,111.4729538,
2847.5,111.5022507,
2847,111.4606018,
2846.5,111.5147705,
2846,111.526741,
2845.5,111.5385742,
2845,111.6015472,
2844.5,111.5544815,
2844,111.5776062,
2843.5,111.5680542,
2843,111.5243683,
2842.5,111.5501251,
2842,111.5536957,
2841.5,111.5539322,
2841,111.584404,
2840.5,111.5097961,
2840,111.467453,
2839.5,111.4276657,
2839,111.3762741,
2838.5,111.4289856,
2838,111.3877258,
2837.5,111.3397141,
2837,111.3606415,
2836.5,111.2818985,
2836,111.288475,
2835.5,111.2891998,
2835,111.2521896,
2834.5,111.3125305,
2834,111.3124847,
2833.5,111.3410568,
2833,111.3928452,
2832.5,111.3666992,
2832,111.4557648,
2831.5,111.5037537,
2831,111.4919662,
2830.5,111.5342941,
2830,111.5009308,
2829.5,111.5156784,
2829,111.5511322,
2828.5,111.5345001,
2828,111.5779495,
2827.5,111.6015167,
2827,111.5601273,
2826.5,111.5732574,
2826,111.5558472,
2825.5,111.5473785,
2825,111.5808716,
2824.5,111.5405655,
2824,111.5544662,
2823.5,111.5198822,
2823,111.4339142,
2822.5,111.4308853,
2822,111.3276215,
2821.5,111.278511,
2821,111.2612457,
2820.5,111.1665573,
2820,111.1414337,
2819.5,111.1287003,
2819,111.1012115,
2818.5,111.1317062,
2818,111.1295013,
2817.5,111.1912994,
2817,111.2714386,
2816.5,111.2868195,
2816,111.3574829,
2815.5,111.4248276,
2815,111.4602203,
2814.5,111.5184937,
2814,111.5583878,
2813.5,111.5996017,
2813,111.6724014,
2812.5,111.688324,
2812,111.7493591,
2811.5,111.8074036,
