Baseline 100%T,,
Wavelength (nm),Abs,
2690.5,-0.04030695185,
2690,-0.04008603096,
2689.5,-0.03958137706,
2689,-0.03917965293,
2688.5,-0.0389729701,
2688,-0.03847611696,
2687.5,-0.03823364154,
2687,-0.03786445037,
2686.5,-0.03730746731,
2686,-0.03699502349,
2685.5,-0.03665984794,
2685,-0.03648043051,
2684.5,-0.03654168919,
2684,-0.03625126556,
2683.5,-0.03610493615,
2683,-0.03596575186,
2682.5,-0.03580544889,
2682,-0.03605910018,
2681.5,-0.03603165597,
2681,-0.03588682413,
2680.5,-0.03575209901,
2680,-0.03551095724,
2679.5,-0.03548133001,
2679,-0.03569521382,
2678.5,-0.03565992415,
2678,-0.03579286486,
2677.5,-0.03586079553,
2677,-0.03583271801,
2676.5,-0.0361725837,
2676,-0.03617939353,
2675.5,-0.03609421477,
2675,-0.03610188514,
2674.5,-0.03594120592,
2674,-0.03591489792,
2673.5,-0.03561647236,
2673,-0.03483342007,
2672.5,-0.03437035903,
2672,-0.03351815045,
2671.5,-0.032639727,
2671,-0.03189967945,
2670.5,-0.0306033697,
2670,-0.02987018228,
2669.5,-0.02906550281,
2669,-0.02790612727,
2668.5,-0.02652584761,
2668,-0.02513046563,
2667.5,-0.0241174195,
2667,-0.02276138216,
2666.5,-0.02148718573,
2666,-0.02020553499,
2665.5,-0.01898699626,
2665,-0.01783350669,
2664.5,-0.01717199013,
2664,-0.01653712429,
2663.5,-0.01587612368,
2663,-0.01529439166,
2662.5,-0.01448755804,
2662,-0.01358404662,
2661.5,-0.0127545204,
2661,-0.01164749358,
2660.5,-0.01098581776,
2660,-0.01063388865,
2659.5,-0.00976230856,
2659,-0.00961330533,
2658.5,-0.009110325016,
2658,-0.00880248379,
2657.5,-0.008516914211,
2657,-0.008094128221,
2656.5,-0.007628099062,
2656,-0.007390570361,
2655.5,-0.007154541556,
2655,-0.007143388502,
2654.5,-0.006979575381,
2654,-0.006824313197,
2653.5,-0.006654567551,
2653,-0.006316560321,
2652.5,-0.006073973607,
2652,-0.006123798434,
2651.5,-0.006049774121,
2651,-0.006032669917,
2650.5,-0.005912412424,
2650,-0.005703988951,
2649.5,-0.005834111944,
2649,-0.005860520061,
2648.5,-0.005599228665,
2648,-0.005406761542,
2647.5,-0.005045725964,
2647,-0.004936865531,
2646.5,-0.005077452864,
2646,-0.004895453341,
2645.5,-0.004794184584,
2645,-0.004640495405,
2644.5,-0.004346434958,
2644,-0.004447961692,
2643.5,-0.004417675082,
2643,-0.00432480406,
2642.5,-0.004401429556,
2642,-0.004174948204,
2641.5,-0.004107463174,
2641,-0.004117719829,
2640.5,-0.003981540911,
2640,-0.004087871872,
2639.5,-0.004124796949,
2639,-0.004000880755,
2638.5,-0.004138386343,
2638,-0.00402088603,
2637.5,-0.004089051392,
2637,-0.004524360411,
2636.5,-0.004392511677,
2636,-0.004642339423,
2635.5,-0.004686899949,
2635,-0.004840060603,
2634.5,-0.005131331738,
2634,-0.005355422851,
2633.5,-0.005187045317,
2633,-0.005439586472,
2632.5,-0.00537367817,
2632,-0.005743433721,
2631.5,-0.005918744951,
2631,-0.00584146753,
2630.5,-0.005782363936,
2630,-0.005667146761,
2629.5,-0.0054704668,
2629,-0.005548372399,
2628.5,-0.005336757284,
2628,-0.00527114002,
2627.5,-0.005225820933,
2627,-0.004970238078,
2626.5,-0.004972797353,
2626,-0.00498743495,
2625.5,-0.004924580455,
2625,-0.005074843299,
2624.5,-0.004980884027,
2624,-0.004985131789,
2623.5,-0.005255386233,
2623,-0.005452010315,
2622.5,-0.005566160195,
2622,-0.005554454867,
2621.5,-0.005197123624,
2621,-0.005345348269,
2620.5,-0.005421589594,
2620,-0.005430690479,
2619.5,-0.005741236731,
2619,-0.005604850594,
2618.5,-0.005617576186,
2618,-0.005730200559,
2617.5,-0.00545840105,
2617,-0.005364729557,
2616.5,-0.005320545286,
2616,-0.005203210749,
2615.5,-0.005497254897,
2615,-0.005423379131,
2614.5,-0.005256255623,
2614,-0.005302287638,
2613.5,-0.00508543523,
2613,-0.004937582184,
2612.5,-0.004751837347,
2612,-0.004528715275,
2611.5,-0.004774829373,
2611,-0.004897756968,
2610.5,-0.004736935254,
2610,-0.004845948424,
2609.5,-0.004720547702,
2609,-0.004828233737,
2608.5,-0.005051815882,
2608,-0.004789473955,
2607.5,-0.004742875695,
2607,-0.004814716987,
2606.5,-0.004777594469,
2606,-0.004947768059,
2605.5,-0.004675888456,
2605,-0.004392204341,
2604.5,-0.0043776487,
2604,-0.00412925845,
2603.5,-0.00402801577,
2603,-0.003999495413,
2602.5,-0.003998008091,
2602,-0.004112283699,
2601.5,-0.004022270907,
2601,-0.00399744371,
2600.5,-0.004107257817,
2600,-0.004025964066,
2599.5,-0.004025707487,
2599,-0.004114693962,
2598.5,-0.00391612947,
2598,-0.003946296871,
2597.5,-0.003984208684,
2597,-0.003938857932,
2596.5,-0.003993904218,
2596,-0.003696889617,
2595.5,-0.003414774081,
2595,-0.003577318508,
2594.5,-0.003389244201,
2594,-0.003458741354,
2593.5,-0.003523605876,
2593,-0.003453759477,
2592.5,-0.003599345917,
2592,-0.003577369731,
2591.5,-0.003476049751,
2591,-0.003640162991,
2590.5,-0.003378970083,
2590,-0.003162028734,
2589.5,-0.00306816888,
2589,-0.002734509064,
2588.5,-0.002717171097,
2588,-0.002492537955,
2587.5,-0.002179092728,
2587,-0.002254861407,
2586.5,-0.002134428825,
2586,-0.002263256349,
2585.5,-0.002428446198,
2585,-0.002215613611,
2584.5,-0.002207681304,
2584,-0.00209568534,
2583.5,-0.001951397862,
2583,-0.001984639792,
2582.5,-0.001840676181,
2582,-0.001677480293,
2581.5,-0.001642667572,
2581,-0.001374335377,
2580.5,-0.001280088327,
2580,-0.001357097877,
2579.5,-0.001221599407,
2579,-0.001266615349,
2578.5,-0.001178695704,
2578,-0.001129797776,
2577.5,-0.001252677408,
2577,-0.000873083889,
2576.5,-0.0007841025363,
2576,-0.0007058024639,
2575.5,-0.0006203540252,
2575,-0.0007798132137,
2574.5,-0.0006326579605,
2574,-0.0004930548021,
2573.5,-0.0004742825113,
2573,-0.0002539706184,
2572.5,-0.0003818571859,
2572,-0.0004906759714,
2571.5,-0.0003820641141,
2571,-0.0004172366462,
2570.5,-0.0003782880667,
2570,-0.0001959125802,
