IOH-SAI-02-Abs-Scan_200-790_DRA-Et-05-11-20,,
Energy (eV),%T,
2.3752,34.0073825009,
2.3752,34.0073825009,
2.3797,33.9831490019,
2.3797,33.9831490019,
2.3843,33.9111989749,
2.3843,33.9111989749,
2.3889,33.9483919292,
2.3889,33.9483919292,
2.3935,33.9227292256,
2.3935,33.9227292256,
2.3981,33.8833275167,
2.3981,33.8833275167,
2.4028,33.8006623114,
2.4028,33.8006623114,
2.4075,33.7793761735,
2.4075,33.7793761735,
2.4121,33.7732710585,
2.4121,33.7732710585,
2.4168,33.7258584179,
2.4168,33.7258584179,
2.4216,33.7056347612,
2.4216,33.7056347612,
2.4263,33.6439698724,
2.4263,33.6439698724,
2.4311,33.6491787660,
2.4311,33.6491787660,
2.4358,33.5742216791,
2.4358,33.5742216791,
2.4406,33.5823325326,
2.4406,33.5823325326,
2.4454,33.5578860876,
2.4454,33.5578860876,
2.4503,33.5251352195,
2.4503,33.5251352195,
2.4551,33.4550617331,
2.4551,33.4550617331,
2.4600,33.4866135404,
2.4600,33.4866135404,
2.4649,33.4771726754,
2.4649,33.4771726754,
2.4698,33.4103517508,
2.4698,33.4103517508,
2.4747,33.3516507023,
2.4747,33.3516507023,
2.4797,33.3288793430,
2.4797,33.3288793430,
2.4847,33.2827917247,
2.4847,33.2827917247,
2.4896,33.2622357236,
2.4896,33.2622357236,
2.4947,33.2487646554,
2.4947,33.2487646554,
2.4997,33.2348908039,
2.4997,33.2348908039,
2.5047,33.1850342951,
2.5047,33.1850342951,
2.5098,33.2073290888,
2.5098,33.2073290888,
2.5149,33.1343134999,
2.5149,33.1343134999,
2.5200,33.1219943080,
2.5200,33.1219943080,
2.5251,33.1461300428,
2.5251,33.1461300428,
2.5303,33.0874958700,
2.5303,33.0874958700,
2.5355,33.0816088779,
2.5355,33.0816088779,
2.5407,33.0468781101,
2.5407,33.0468781101,
2.5459,33.0256791241,
2.5459,33.0256791241,
2.5511,32.9908780335,
2.5511,32.9908780335,
2.5564,32.9931374943,
2.5564,32.9931374943,
2.5617,33.0092729176,
2.5617,33.0092729176,
2.5670,32.9622361306,
2.5670,32.9622361306,
2.5723,33.0011306216,
2.5723,33.0011306216,
2.5776,32.8989804778,
2.5776,32.8989804778,
2.5830,32.9155780653,
2.5830,32.9155780653,
2.5884,32.8883014743,
2.5884,32.8883014743,
2.5938,32.8961901924,
2.5938,32.8961901924,
2.5992,32.9179046559,
2.5992,32.9179046559,
2.6047,32.8741945282,
2.6047,32.8741945282,
2.6102,32.8764189196,
2.6102,32.8764189196,
2.6157,32.8651901844,
2.6157,32.8651901844,
2.6212,32.8078814745,
2.6212,32.8078814745,
2.6268,32.8020667397,
2.6268,32.8020667397,
2.6324,32.8627793689,
2.6324,32.8627793689,
2.6380,32.7971127606,
2.6380,32.7971127606,
2.6436,32.8614849568,
2.6436,32.8614849568,
2.6492,32.7781410540,
2.6492,32.7781410540,
2.6549,32.7962260310,
2.6549,32.7962260310,
2.6606,32.7899228320,
2.6606,32.7899228320,
2.6663,32.7572470950,
2.6663,32.7572470950,
2.6721,32.7420347202,
2.6721,32.7420347202,
2.6778,32.7640363962,
2.6778,32.7640363962,
2.6836,32.7572695721,
2.6836,32.7572695721,
2.6895,32.7420684277,
2.6895,32.7420684277,
2.6953,32.7103135316,
2.6953,32.7103135316,
2.7012,32.7318424127,
2.7012,32.7318424127,
2.7071,32.6769928283,
2.7071,32.6769928283,
2.7130,32.7461174751,
2.7130,32.7461174751,
2.7190,32.6787419253,
2.7190,32.6787419253,
2.7249,32.5912808468,
2.7249,32.5912808468,
2.7309,32.5887179331,
2.7309,32.5887179331,
2.7370,32.6428481315,
2.7370,32.6428481315,
2.7430,32.6195489352,
2.7430,32.6195489352,
2.7491,32.5408758081,
2.7491,32.5408758081,
2.7552,32.5728081988,
2.7552,32.5728081988,
2.7613,32.5423161461,
2.7613,32.5423161461,
2.7675,32.5719498836,
2.7675,32.5719498836,
2.7737,32.5235386934,
2.7737,32.5235386934,
2.7799,32.5209208490,
2.7799,32.5209208490,
2.7862,32.5038575648,
2.7862,32.5038575648,
2.7924,32.4657763977,
2.7924,32.4657763977,
2.7987,32.4725498517,
2.7987,32.4725498517,
2.8051,32.3577040317,
2.8051,32.3577040317,
2.8114,32.4230582100,
2.8114,32.4230582100,
2.8178,32.3368761349,
2.8178,32.3368761349,
2.8242,32.3594715721,
2.8242,32.3594715721,
2.8307,32.3459465974,
2.8307,32.3459465974,
2.8372,32.2834659969,
2.8372,32.2834659969,
2.8437,32.3037540694,
2.8437,32.3037540694,
2.8502,32.2808143083,
2.8502,32.2808143083,
2.8568,32.2335723995,
2.8568,32.2335723995,
2.8634,32.2113013980,
2.8634,32.2113013980,
2.8700,32.1817418080,
2.8700,32.1817418080,
2.8767,32.1419624285,
2.8767,32.1419624285,
2.8834,32.1308941410,
2.8834,32.1308941410,
2.8901,32.1112302621,
2.8901,32.1112302621,
2.8968,32.0939899143,
2.8968,32.0939899143,
2.9036,32.0216028164,
2.9036,32.0216028164,
2.9104,31.9598408355,
2.9104,31.9598408355,
2.9173,31.9344935750,
2.9173,31.9344935750,
2.9242,31.9397577964,
2.9242,31.9397577964,
2.9311,31.8919338785,
2.9311,31.8919338785,
2.9380,31.8449966694,
2.9380,31.8449966694,
2.9450,31.8085255851,
2.9450,31.8085255851,
2.9520,31.7740760226,
2.9520,31.7740760226,
2.9591,31.7345827841,
2.9591,31.7345827841,
2.9661,31.6676129764,
2.9661,31.6676129764,
2.9732,31.6691189748,
2.9732,31.6691189748,
2.9804,31.5839222289,
2.9804,31.5839222289,
2.9876,31.5081684832,
2.9876,31.5081684832,
2.9948,31.4622775396,
2.9948,31.4622775396,
3.0020,31.5133494605,
3.0020,31.5133494605,
3.0093,31.4334592409,
3.0093,31.4334592409,
3.0166,31.3663607683,
3.0166,31.3663607683,
3.0240,31.3432650391,
3.0240,31.3432650391,
3.0314,31.2870578794,
3.0314,31.2870578794,
3.0388,31.2620940285,
3.0388,31.2620940285,
3.0463,31.1899030422,
3.0463,31.1899030422,
3.0538,31.1748174023,
3.0538,31.1748174023,
3.0613,31.1726867357,
3.0613,31.1726867357,
3.0689,31.0692855354,
3.0689,31.0692855354,
3.0765,30.9614379907,
3.0765,30.9614379907,
3.0842,30.9206503997,
3.0842,30.9206503997,
3.0919,30.9480258757,
3.0919,30.9480258757,
3.0996,30.7522581223,
3.0996,30.7522581223,
3.1074,30.7792395009,
3.1074,30.7792395009,
3.1152,30.6488381193,
3.1152,30.6488381193,
3.1230,30.6578537407,
3.1230,30.6578537407,
3.1309,30.5842414147,
3.1309,30.5842414147,
3.1388,30.5149516875,
3.1388,30.5149516875,
3.1468,30.5321944356,
3.1468,30.5321944356,
3.1548,30.4312184830,
3.1548,30.4312184830,
3.1629,30.3446705328,
3.1629,30.3446705328,
3.1710,30.3164265549,
3.1710,30.3164265549,
3.1791,30.2009153326,
3.1791,30.2009153326,
3.1873,30.1260102416,
3.1873,30.1260102416,
3.1955,30.0283268988,
3.1955,30.0283268988,
3.2037,29.9949470075,
3.2037,29.9949470075,
3.2120,29.8517956430,
3.2120,29.8517956430,
3.2204,29.6695459902,
3.2204,29.6695459902,
3.2288,29.6536532020,
3.2288,29.6536532020,
3.2372,29.5589132067,
3.2372,29.5589132067,
3.2457,29.4102412902,
3.2457,29.4102412902,
3.2542,29.3710618415,
3.2542,29.3710618415,
3.2627,29.1696040754,
3.2627,29.1696040754,
3.2714,29.0672336626,
3.2714,29.0672336626,
3.2800,28.9574756418,
3.2800,28.9574756418,
3.2887,28.8912131918,
3.2887,28.8912131918,
3.2975,28.6681026665,
3.2975,28.6681026665,
3.3062,28.5010191008,
3.3062,28.5010191008,
3.3151,28.3769981321,
3.3151,28.3769981321,
3.3240,28.1649508828,
3.3240,28.1649508828,
3.3329,28.0130576863,
3.3329,28.0130576863,
3.3419,27.8690052320,
3.3419,27.8690052320,
3.3509,27.5687711880,
3.3509,27.5687711880,
3.3600,27.2856613074,
3.3600,27.2856613074,
3.3691,26.9818077164,
3.3691,26.9818077164,
3.3783,26.8561141264,
3.3783,26.8561141264,
3.3875,26.5868607174,
3.3875,26.5868607174,
3.3968,26.2579057174,
3.3968,26.2579057174,
3.4062,25.9016337116,
3.4062,25.9016337116,
3.4155,25.5814448113,
3.4155,25.5814448113,
3.4250,25.2008661283,
3.4250,25.2008661283,
3.4345,24.9794303978,
3.4345,24.9794303978,
3.4440,24.6378673241,
3.4440,24.6378673241,
3.4536,24.2414713306,
3.4536,24.2414713306,
3.4632,23.9736038232,
3.4632,23.9736038232,
3.4729,23.6847076542,
3.4729,23.6847076542,
3.4827,23.3796760413,
3.4827,23.3796760413,
3.4925,23.0293531530,
3.4925,23.0293531530,
3.5024,22.7759204043,
3.5024,22.7759204043,
3.5123,22.4663961691,
3.5123,22.4663961691,
3.5223,22.2287360118,
3.5223,22.2287360118,
3.5323,21.9381706956,
3.5323,21.9381706956,
3.5424,21.6828742140,
3.5424,21.6828742140,
3.5526,21.6445849236,
3.5526,21.6445849236,
3.5628,21.3767124380,
3.5628,21.3767124380,
3.5730,20.9172049687,
3.5730,20.9172049687,
3.5834,20.9301963956,
3.5834,20.9301963956,
3.5937,20.7927238882,
3.5937,20.7927238882,
3.6042,20.4211376254,
3.6042,20.4211376254,
3.6147,20.3444628843,
3.6147,20.3444628843,
3.6253,20.1117558600,
3.6253,20.1117558600,
3.6359,19.7380416018,
3.6359,19.7380416018,
3.6466,19.6567353570,
3.6466,19.6567353570,
3.6574,19.5290529661,
3.6574,19.5290529661,
3.6682,19.2721104290,
3.6682,19.2721104290,
3.6791,19.1955527119,
3.6791,19.1955527119,
3.6900,19.0197413650,
3.6900,19.0197413650,
3.7010,18.8408024839,
3.7010,18.8408024839,
3.7121,18.5863506419,
3.7121,18.5863506419,
3.7232,18.4501403763,
3.7232,18.4501403763,
3.7345,18.3175351462,
3.7345,18.3175351462,
3.7457,18.2677781605,
3.7457,18.2677781605,
3.7571,18.1614344437,
3.7571,18.1614344437,
3.7685,17.8753496560,
3.7685,17.8753496560,
3.7800,17.8801170490,
3.7800,17.8801170490,
3.7916,17.6786428118,
3.7916,17.6786428118,
3.8032,17.6004298222,
3.8032,17.6004298222,
3.8149,17.6780871961,
3.8149,17.6780871961,
3.8267,17.5491545384,
3.8267,17.5491545384,
3.8385,17.5629728917,
3.8385,17.5629728917,
3.8504,17.4751259960,
3.8504,17.4751259960,
3.8624,17.3337296542,
3.8624,17.3337296542,
3.8745,17.4185897463,
3.8745,17.4185897463,
3.8867,17.3850531237,
3.8867,17.3850531237,
3.8989,17.2585537441,
3.8989,17.2585537441,
3.9112,17.3150577154,
3.9112,17.3150577154,
3.9236,17.3110135534,
3.9236,17.3110135534,
3.9360,17.1018633601,
3.9360,17.1018633601,
3.9485,17.1609276563,
3.9485,17.1609276563,
3.9612,17.1608570005,
3.9612,17.1608570005,
3.9739,17.1079740606,
3.9739,17.1079740606,
3.9866,17.1266342344,
3.9866,17.1266342344,
3.9995,17.0468716006,
3.9995,17.0468716006,
4.0124,17.0311754799,
4.0124,17.0311754799,
4.0255,17.0890293158,
4.0255,17.0890293158,
4.0386,17.0368704344,
4.0386,17.0368704344,
4.0518,17.1015511938,
4.0518,17.1015511938,
4.0651,17.0337281525,
4.0651,17.0337281525,
4.0784,17.1295656101,
4.0784,17.1295656101,
4.0919,17.0945113494,
4.0919,17.0945113494,
4.1054,17.1068728926,
4.1054,17.1068728926,
4.1191,17.0576862945,
4.1191,17.0576862945,
4.1328,17.0236505852,
4.1328,17.0236505852,
4.1466,16.9925720678,
4.1466,16.9925720678,
4.1605,17.1551323721,
4.1605,17.1551323721,
4.1746,17.1434959077,
4.1746,17.1434959077,
4.1887,17.0337398445,
4.1887,17.0337398445,
4.2029,17.0881287130,
4.2029,17.0881287130,
4.2171,16.9578889177,
4.2171,16.9578889177,
4.2315,16.8548511967,
4.2315,16.8548511967,
4.2460,16.9294187142,
4.2460,16.9294187142,
4.2606,16.9236946398,
4.2606,16.9236946398,
4.2753,16.8916649185,
4.2753,16.8916649185,
4.2901,16.9385570775,
4.2901,16.9385570775,
4.3050,17.0495202283,
4.3050,17.0495202283,
4.3200,16.8962998218,
4.3200,16.8962998218,
4.3351,16.8836455292,
4.3351,16.8836455292,
4.3503,16.8656042490,
4.3503,16.8656042490,
4.3656,16.8165458956,
4.3656,16.8165458956,
4.3811,16.8874090706,
4.3811,16.8874090706,
4.3966,16.9220920607,
4.3966,16.9220920607,
4.4122,16.8873233145,
4.4122,16.8873233145,
4.4280,16.8395837900,
4.4280,16.8395837900,
4.4439,16.7668800419,
4.4439,16.7668800419,
4.4599,16.8326725744,
4.4599,16.8326725744,
4.4760,16.8969908773,
4.4760,16.8969908773,
4.4922,16.7983757371,
4.4922,16.7983757371,
4.5085,16.8214072070,
4.5085,16.8214072070,
4.5250,16.7578963917,
4.5250,16.7578963917,
4.5415,16.8653519471,
4.5415,16.8653519471,
4.5582,16.8090512371,
4.5582,16.8090512371,
4.5751,16.7385214625,
4.5751,16.7385214625,
4.5920,16.7343799881,
4.5920,16.7343799881,
4.6091,16.6946597375,
4.6091,16.6946597375,
4.6263,16.7231436838,
4.6263,16.7231436838,
4.6436,16.6893219646,
4.6436,16.6893219646,
4.6611,16.6211536140,
4.6611,16.6211536140,
4.6786,16.6744447900,
4.6786,16.6744447900,
4.6964,16.6560761299,
4.6964,16.6560761299,
4.7142,16.5891841994,
4.7142,16.5891841994,
4.7322,16.6694337702,
4.7322,16.6694337702,
