V2O5-AM-02-Abs-Scan_8300-20000_cm-1_2x5mm_Vozduh-10-06-16,,
Wavenumber (cm-1),Abs,
11400,0.7288140655,
11410,0.730060339,
11420,0.7311284542,
11430,0.7320575714,
11440,0.7323873639,
11450,0.7325567007,
11460,0.7327731848,
11470,0.7328288555,
11480,0.7330179811,
11490,0.7331086397,
11500,0.7333648801,
11510,0.7342231274,
11520,0.7341870666,
11530,0.7341246605,
11540,0.7342305779,
11550,0.7342300415,
11560,0.7342405319,
11570,0.7340902686,
11580,0.734469831,
11590,0.7348918915,
11600,0.7352511287,
11610,0.735653758,
11620,0.7360286117,
11630,0.7362164259,
11640,0.7366539836,
11650,0.7368273735,
11660,0.7369257212,
11670,0.7373139262,
11680,0.7374089956,
11690,0.737455368,
11700,0.7375292182,
11710,0.7374268174,
11720,0.737721324,
11730,0.7378960848,
11740,0.7378299832,
11750,0.7381814122,
11760,0.7381386161,
11770,0.7382647395,
11780,0.738593936,
11790,0.7387802601,
11800,0.7391966581,
11810,0.7397776842,
11820,0.7400615811,
11830,0.7405919433,
11840,0.7407937646,
11850,0.7411758304,
11860,0.7413271666,
11870,0.7415038943,
11880,0.7417964339,
11890,0.7421517968,
11900,0.7422116995,
11910,0.7428724766,
11920,0.7431941628,
11930,0.7435753345,
11940,0.743806541,
11950,0.7438756227,
11960,0.7443462014,
11970,0.7448237538,
11980,0.7449641824,
11990,0.7454929352,
12000,0.7460039258,
12010,0.7464557886,
12020,0.7468577623,
12030,0.7470393777,
12040,0.7474359274,
12050,0.7476359606,
12060,0.7477608323,
12070,0.7480261922,
12080,0.7480713725,
12090,0.7484457493,
12100,0.7489215732,
12110,0.7490733266,
12120,0.7495569587,
12130,0.7496877909,
12140,0.749796927,
12150,0.7501679063,
12160,0.7503239512,
12170,0.7503439784,
12180,0.7505947948,
12190,0.7506642342,
12200,0.7513210177,
12210,0.7514523864,
12220,0.751478374,
12230,0.7517107725,
12240,0.7519558668,
12250,0.7521304488,
12260,0.7522507906,
12270,0.7520328164,
12280,0.7524172664,
12290,0.752471745,
12300,0.7525008321,
12310,0.7524557114,
12320,0.7523136139,
12330,0.7526475191,
12340,0.752610743,
12350,0.7524487376,
12360,0.7523745894,
12370,0.7523815632,
12380,0.7524014115,
12390,0.7524662018,
12400,0.7522105575,
12410,0.7522125244,
12420,0.7523691654,
12430,0.7523770928,
12440,0.7523851395,
12450,0.7522336245,
12460,0.7520468831,
12470,0.7521244287,
12480,0.7518630028,
12490,0.751747787,
12500,0.7516599298,
12510,0.5520381927,
12520,0.5503364205,
12530,0.5467344522,
12540,0.5443027616,
12550,0.5415010452,
12560,0.5406610966,
12570,0.5417764187,
12580,0.5453866124,
12590,0.5488919616,
12600,0.5525442362,
12610,0.5550347567,
12620,0.5551674962,
12630,0.5540065169,
12640,0.5490812063,
12650,0.5446328521,
12660,0.5406531692,
12670,0.5371392965,
12680,0.5365611315,
12690,0.5404679179,
12700,0.5453448892,
12710,0.5501911044,
12720,0.5527486801,
12730,0.554177165,
12740,0.5533525944,
12750,0.5490518808,
12760,0.543682754,
12770,0.5395749211,
12780,0.5380834341,
12790,0.5378801227,
12800,0.5397894382,
12810,0.543638587,
12820,0.5485087633,
12830,0.5499819517,
12840,0.5499834418,
12850,0.5488353968,
12860,0.5460108519,
12870,0.542396009,
12880,0.538985312,
12890,0.5378847718,
12900,0.5392935872,
12910,0.5390220881,
12920,0.5416780114,
12930,0.5440949202,
12940,0.5457625985,
12950,0.5450952649,
12960,0.5441686511,
12970,0.543751955,
12980,0.5420860648,
12990,0.5401343107,
13000,0.5397472978,
13010,0.5415442586,
13020,0.5414412618,
13030,0.5410327911,
13040,0.5412572026,
13050,0.541693151,
13060,0.5402141809,
13070,0.5388302803,
13080,0.5383565426,
13090,0.5389472246,
13100,0.5387370586,
13110,0.5397137403,
13120,0.542750895,
13130,0.5443481207,
13140,0.5439768434,
13150,0.542404592,
13160,0.5406955481,
13170,0.5385659337,
13180,0.535859406,
13190,0.5349330306,
13200,0.5352887511,
13210,0.5372912884,
13220,0.5403199792,
13230,0.5429641604,
13240,0.5457075238,
13250,0.5463346243,
13260,0.5438400507,
13270,0.540381968,
13280,0.5362869501,
13290,0.5317652225,
13300,0.5305046439,
13310,0.5326023698,
13320,0.5356673598,
13330,0.5404348373,
13340,0.544793725,
13350,0.5462360978,
13360,0.5459039807,
13370,0.5429838896,
13380,0.5380245447,
13390,0.5335236788,
13400,0.5302132964,
13410,0.5292337537,
13420,0.5306196809,
13430,0.5339174867,
13440,0.5377157927,
13450,0.5411690474,
13460,0.5430139899,
13470,0.5421350598,
13480,0.5400293469,
13490,0.5372807384,
13500,0.533057034,
13510,0.5304103494,
13520,0.5299533606,
13530,0.5304710865,
13540,0.5330125093,
13550,0.5354937911,
13560,0.5375042558,
13570,0.5384740233,
13580,0.5373933911,
13590,0.5355558395,
13600,0.5330484509,
13610,0.5306860209,
13620,0.5294340849,
13630,0.5288663507,
13640,0.5296049118,
13650,0.5316028595,
13660,0.5329041481,
13670,0.5339123607,
13680,0.5345113873,
13690,0.5337128639,
13700,0.5318467617,
13710,0.5313874483,
13720,0.530605793,
13730,0.5306800604,
13740,0.5320798755,
13750,0.532158792,
13760,0.5324370265,
13770,0.5319547057,
13780,0.5299408436,
13790,0.5283061266,
13800,0.5270863771,
13810,0.5257493258,
13820,0.5264325738,
13830,0.5288478732,
13840,0.5307972431,
13850,0.5332545042,
13860,0.5347472429,
13870,0.5334329605,
13880,0.5305476189,
13890,0.5275528431,
13900,0.5244624615,
13910,0.5228742957,
13920,0.5237188339,
13930,0.5258120298,
13940,0.5289933681,
13950,0.5326756835,
13960,0.534355998,
13970,0.5340826511,
13980,0.5327794552,
13990,0.5280745625,
14000,0.523627162,
14010,0.521022141,
14020,0.5198882222,
