Baseline 100%T,,
Wavenumber (cm-1),%T,
3467.4,112.1525879288,
3468.0,112.1115449904,
3468.0,112.1115449904,
3468.6,112.1735812174,
3468.6,112.1735812174,
3469.2,112.2062922065,
3469.2,112.2062922065,
3469.8,112.2223976242,
3469.8,112.2223976242,
3470.4,112.2377274506,
3470.4,112.2377274506,
3471.0,112.1889476783,
3471.0,112.1889476783,
3471.6,112.1464609775,
3471.6,112.1464609775,
3472.2,112.1458886065,
3472.2,112.1458886065,
3472.8,112.1504185895,
3472.8,112.1504185895,
3473.4,112.2033354959,
3473.4,112.2033354959,
3474.0,112.2029187528,
3474.0,112.2029187528,
3474.6,112.1683835230,
3474.6,112.1683835230,
3475.2,112.1704338990,
3475.2,112.1704338990,
3475.8,112.1064780634,
3475.8,112.1064780634,
3476.4,112.0661614211,
3476.4,112.0661614211,
3477.1,112.0970131718,
3477.1,112.0970131718,
3477.7,112.1152994128,
3477.7,112.1152994128,
3478.3,112.1488928623,
3478.3,112.1488928623,
3478.9,112.1095178085,
3478.9,112.1095178085,
3479.5,112.0075818606,
3479.5,112.0075818606,
3480.1,112.0245101350,
3480.1,112.0245101350,
3480.7,112.0001437631,
3480.7,112.0001437631,
3481.3,112.0092392167,
3481.3,112.0092392167,
3481.9,112.0474699133,
3481.9,112.0474699133,
3482.5,112.0134831188,
3482.5,112.0134831188,
3483.1,112.0306256204,
3483.1,112.0306256204,
3483.7,111.9993684690,
3483.7,111.9993684690,
3484.3,111.9486805006,
3484.3,111.9486805006,
3484.9,111.9603157755,
3484.9,111.9603157755,
3485.5,111.9643330878,
3485.5,111.9643330878,
3486.1,112.0006087498,
3486.1,112.0006087498,
3486.8,112.0351432601,
3486.8,112.0351432601,
3487.4,111.9932767844,
3487.4,111.9932767844,
3488.0,111.9675043984,
3488.0,111.9675043984,
3488.6,111.9565482967,
3488.6,111.9565482967,
3489.2,111.9433405487,
3489.2,111.9433405487,
3489.8,112.0122907351,
